,Sex,Age,Height,Weight,Season,Sport,Medal
13139,F,19.0,185.0,72.0,Summer,Athletics,
13140,F,23.0,185.0,72.0,Summer,Athletics,3.0
13141,F,27.0,185.0,72.0,Summer,Athletics,3.0
13142,M,21.0,184.0,82.0,Summer,Volleyball,
13143,M,24.0,161.0,53.0,Summer,Rowing,
13144,M,24.0,161.0,53.0,Summer,Rowing,
13145,M,30.0,175.0,93.0,Summer,Sailing,2.0
13146,M,34.0,175.0,93.0,Summer,Sailing,1.0
13147,M,23.0,192.0,96.0,Summer,Water Polo,2.0
13148,M,27.0,192.0,96.0,Summer,Water Polo,1.0
13149,M,24.0,174.0,59.0,Summer,Hockey,
13150,M,28.0,174.0,59.0,Summer,Hockey,
13151,F,22.0,174.0,70.0,Summer,Athletics,
13152,F,26.0,174.0,70.0,Summer,Athletics,
13153,M,21.0,190.0,83.0,Summer,Basketball,
13154,F,23.0,160.0,50.0,Winter,Cross Country Skiing,
13155,F,23.0,160.0,50.0,Winter,Cross Country Skiing,
13156,F,23.0,160.0,50.0,Winter,Cross Country Skiing,
13157,F,23.0,160.0,50.0,Winter,Cross Country Skiing,
13158,F,27.0,160.0,50.0,Winter,Cross Country Skiing,
13159,F,27.0,160.0,50.0,Winter,Cross Country Skiing,
13160,F,27.0,160.0,50.0,Winter,Cross Country Skiing,
13161,F,27.0,160.0,50.0,Winter,Cross Country Skiing,
13162,M,26.0,,,Winter,Alpine Skiing,
13163,M,22.0,185.0,88.0,Summer,Rowing,1.0
13164,M,26.0,185.0,88.0,Summer,Rowing,
13165,M,31.0,172.0,64.0,Summer,Cycling,
13166,M,29.0,,,Summer,Wrestling,1.0
13167,M,32.0,,,Summer,Wrestling,
13168,M,18.0,182.0,72.0,Summer,Archery,
13169,M,22.0,,,Summer,Diving,
13170,M,22.0,,,Summer,Swimming,
13171,M,26.0,,,Summer,Diving,
13172,M,22.0,167.0,51.0,Summer,Boxing,
13173,F,24.0,169.0,73.0,Summer,Table Tennis,
13174,F,19.0,,,Winter,Cross Country Skiing,
13175,F,19.0,,,Winter,Cross Country Skiing,
13176,F,19.0,,,Winter,Cross Country Skiing,
13177,F,19.0,,,Winter,Cross Country Skiing,
13178,F,23.0,,,Winter,Cross Country Skiing,
13179,F,23.0,,,Winter,Cross Country Skiing,
13180,F,23.0,,,Winter,Cross Country Skiing,
13181,F,23.0,,,Winter,Cross Country Skiing,
13182,F,25.0,,,Winter,Cross Country Skiing,
13183,F,25.0,,,Winter,Cross Country Skiing,
13184,F,25.0,,,Winter,Cross Country Skiing,
13185,F,25.0,,,Winter,Cross Country Skiing,
13186,F,17.0,163.0,50.0,Summer,Gymnastics,
13187,F,17.0,163.0,50.0,Summer,Gymnastics,
13188,F,17.0,163.0,50.0,Summer,Gymnastics,
13189,F,17.0,163.0,50.0,Summer,Gymnastics,
13190,F,17.0,163.0,50.0,Summer,Gymnastics,
13191,F,17.0,163.0,50.0,Summer,Gymnastics,
13192,F,27.0,,,Summer,Gymnastics,2.0
13193,F,21.0,172.0,67.0,Winter,Cross Country Skiing,
13194,F,21.0,172.0,67.0,Winter,Cross Country Skiing,
13195,F,25.0,172.0,67.0,Winter,Cross Country Skiing,
13196,F,25.0,172.0,67.0,Winter,Cross Country Skiing,
13197,M,28.0,178.0,75.0,Summer,Archery,
13198,M,21.0,176.0,80.0,Winter,Alpine Skiing,
13199,M,21.0,176.0,80.0,Winter,Alpine Skiing,
13200,F,22.0,168.0,58.0,Summer,Swimming,
13201,M,26.0,185.0,90.0,Summer,Weightlifting,
13202,M,23.0,169.0,,Summer,Diving,1.0
13203,M,23.0,169.0,,Summer,Diving,
13204,M,40.0,,,Summer,Shooting,
13205,M,40.0,,,Summer,Shooting,
13206,M,40.0,,,Summer,Shooting,
13207,M,40.0,,,Summer,Shooting,
13208,M,44.0,,,Summer,Shooting,
13209,M,44.0,,,Summer,Shooting,
13210,M,44.0,,,Summer,Shooting,
13211,M,24.0,,,Summer,Tennis,
13212,M,24.0,,,Summer,Tennis,
13213,M,,,67.0,Summer,Weightlifting,
13214,M,27.0,188.0,100.0,Summer,Wrestling,3.0
13215,M,31.0,188.0,100.0,Summer,Wrestling,
13216,M,,,,Summer,Fencing,
13217,M,22.0,181.0,81.0,Winter,Ski Jumping,
13218,M,22.0,181.0,81.0,Winter,Ski Jumping,
13219,M,25.0,181.0,85.0,Winter,Ski Jumping,
13220,M,27.0,,,Summer,Art Competitions,
13221,M,43.0,,,Summer,Art Competitions,
13222,M,43.0,,,Summer,Art Competitions,
13223,M,25.0,178.0,78.0,Summer,Canoeing,
13224,M,25.0,178.0,78.0,Summer,Canoeing,2.0
13225,M,29.0,178.0,78.0,Summer,Canoeing,2.0
13226,M,29.0,178.0,78.0,Summer,Canoeing,
13227,M,,,,Summer,Swimming,
13228,M,,,,Summer,Swimming,
13229,M,18.0,180.0,83.0,Summer,Swimming,
13230,M,18.0,180.0,83.0,Summer,Swimming,
13231,M,18.0,180.0,83.0,Summer,Swimming,
13232,M,22.0,180.0,83.0,Summer,Swimming,
13233,M,22.0,180.0,83.0,Summer,Swimming,
13234,M,21.0,172.0,76.0,Summer,Sailing,
13235,M,32.0,176.0,98.0,Summer,Sailing,
13236,M,52.0,176.0,98.0,Summer,Sailing,
13237,M,25.0,175.0,68.0,Summer,Athletics,
13238,M,25.0,175.0,68.0,Summer,Athletics,
13239,M,24.0,182.0,66.0,Summer,Athletics,
13240,M,28.0,166.0,49.0,Summer,Athletics,
13241,M,22.0,175.0,76.0,Summer,Wrestling,
13242,M,26.0,175.0,76.0,Summer,Wrestling,
13243,M,26.0,183.0,90.0,Summer,Wrestling,
13244,M,30.0,183.0,90.0,Summer,Wrestling,
13245,F,19.0,176.0,63.0,Summer,Athletics,
13246,F,27.0,176.0,63.0,Summer,Athletics,
13247,F,25.0,158.0,43.0,Summer,Athletics,
13248,F,29.0,158.0,43.0,Summer,Athletics,
13249,M,25.0,188.0,88.0,Summer,Canoeing,
13250,M,29.0,188.0,88.0,Summer,Canoeing,
13251,M,33.0,188.0,88.0,Summer,Canoeing,
13252,M,37.0,188.0,88.0,Summer,Canoeing,
13253,M,18.0,197.0,95.0,Summer,Cycling,
13254,M,26.0,197.0,95.0,Summer,Cycling,
13255,M,26.0,197.0,95.0,Summer,Cycling,
13256,M,23.0,175.0,74.0,Summer,Sailing,
13257,M,19.0,,,Summer,Football,
13258,F,25.0,164.0,63.0,Summer,Rugby Sevens,
13259,M,22.0,181.0,73.0,Summer,Modern Pentathlon,
13260,M,22.0,181.0,73.0,Summer,Modern Pentathlon,3.0
13261,M,30.0,181.0,73.0,Summer,Modern Pentathlon,2.0
13262,M,30.0,181.0,73.0,Summer,Modern Pentathlon,3.0
13263,M,34.0,181.0,73.0,Summer,Modern Pentathlon,3.0
13264,M,34.0,181.0,73.0,Summer,Modern Pentathlon,2.0
13265,F,24.0,172.0,58.0,Summer,Swimming,
13266,M,26.0,,67.0,Summer,Weightlifting,
13267,M,21.0,195.0,92.0,Summer,Rowing,
13268,M,29.0,195.0,92.0,Summer,Rowing,
13269,M,37.0,195.0,92.0,Summer,Rowing,
13270,M,26.0,186.0,81.0,Summer,Baseball,
13271,M,27.0,190.0,97.0,Summer,Handball,
13272,M,27.0,,,Summer,Rowing,
13273,M,27.0,170.0,63.0,Summer,Wrestling,
13274,M,24.0,186.0,98.0,Summer,Sailing,
13275,M,20.0,180.0,72.0,Summer,Cycling,
13276,M,28.0,180.0,72.0,Summer,Cycling,
13277,F,26.0,175.0,62.0,Summer,Badminton,
13278,M,19.0,173.0,67.0,Summer,Sailing,
13279,F,41.0,164.0,57.0,Summer,Archery,
13280,M,23.0,188.0,80.0,Summer,Football,
13281,M,19.0,175.0,60.0,Summer,Boxing,
13282,M,27.0,178.0,89.0,Winter,Ice Hockey,2.0
13283,F,28.0,160.0,56.0,Summer,Athletics,
13284,F,17.0,173.0,63.0,Summer,Shooting,
13285,F,17.0,173.0,63.0,Summer,Shooting,
13286,M,32.0,,,Summer,Fencing,3.0
13287,M,32.0,,,Summer,Fencing,
13288,M,32.0,,,Summer,Fencing,3.0
13289,M,22.0,,,Summer,Football,
13290,M,32.0,185.0,82.0,Summer,Shooting,1.0
13291,M,19.0,184.0,80.0,Summer,Swimming,
13292,M,19.0,184.0,80.0,Summer,Swimming,
13293,M,24.0,177.0,78.0,Summer,Water Polo,
13294,M,26.0,175.0,70.0,Summer,Fencing,
13295,M,26.0,175.0,70.0,Summer,Fencing,3.0
13296,M,30.0,175.0,70.0,Summer,Fencing,
13297,M,23.0,,,Summer,Cycling,3.0
13298,M,23.0,,,Summer,Cycling,
13299,M,25.0,176.0,62.0,Summer,Athletics,
13300,M,25.0,176.0,62.0,Summer,Athletics,
13301,M,29.0,176.0,62.0,Summer,Athletics,
13302,M,33.0,176.0,62.0,Summer,Athletics,3.0
13303,M,37.0,176.0,62.0,Summer,Athletics,
13304,F,16.0,167.0,57.0,Winter,Short Track Speed Skating,
13305,F,16.0,167.0,57.0,Winter,Short Track Speed Skating,
13306,F,20.0,167.0,57.0,Winter,Short Track Speed Skating,
13307,F,31.0,170.0,70.0,Summer,Shooting,
13308,M,22.0,169.0,66.0,Summer,Football,3.0
13309,F,17.0,165.0,40.0,Summer,Rhythmic Gymnastics,3.0
13310,M,23.0,173.0,73.0,Summer,Athletics,
13311,M,27.0,173.0,73.0,Summer,Athletics,
13312,M,22.0,192.0,83.0,Summer,Cycling,
13313,M,29.0,187.0,74.0,Summer,Athletics,
13314,F,23.0,157.0,51.0,Summer,Diving,
13315,F,27.0,157.0,51.0,Summer,Diving,1.0
13316,M,39.0,,,Summer,Shooting,
13317,M,39.0,,,Summer,Shooting,
13318,F,31.0,167.0,67.0,Summer,Shooting,
13319,F,34.0,167.0,67.0,Summer,Shooting,
13320,M,46.0,,,Summer,Shooting,
13321,M,21.0,193.0,88.0,Summer,Rowing,
13322,M,32.0,175.0,74.0,Winter,Figure Skating,
13323,M,19.0,178.0,71.0,Summer,Boxing,1.0
13324,F,24.0,170.0,63.0,Summer,Sailing,
13325,M,,,,Summer,Canoeing,
13326,M,18.0,170.0,66.0,Summer,Boxing,
13327,F,22.0,188.0,74.0,Summer,Rowing,
13328,M,22.0,174.0,69.0,Summer,Swimming,
13329,M,18.0,,,Summer,Wrestling,
13330,M,26.0,,,Summer,Wrestling,
13331,M,20.0,168.0,57.0,Summer,Boxing,
13332,M,20.0,182.0,78.0,Summer,Rowing,
13333,M,20.0,190.0,95.0,Summer,Baseball,
13334,M,24.0,186.0,82.0,Summer,Baseball,
13335,M,29.0,186.0,82.0,Summer,Baseball,
13336,M,33.0,186.0,82.0,Summer,Baseball,
13337,M,29.0,168.0,61.0,Summer,Fencing,
13338,M,37.0,168.0,61.0,Summer,Fencing,
13339,M,37.0,168.0,61.0,Summer,Fencing,
13340,M,44.0,,,Summer,Shooting,
13341,M,56.0,,,Summer,Shooting,
13342,M,20.0,,,Summer,Athletics,
13343,M,23.0,178.0,73.0,Winter,Ski Jumping,
13344,M,23.0,178.0,73.0,Winter,Ski Jumping,
13345,M,27.0,178.0,73.0,Winter,Ski Jumping,
13346,M,27.0,178.0,73.0,Winter,Ski Jumping,
13347,M,18.0,185.0,75.0,Summer,Athletics,
13348,M,25.0,,77.0,Summer,Rowing,1.0
13349,M,25.0,,77.0,Summer,Rowing,1.0
13350,M,22.0,191.0,83.0,Summer,Baseball,
13351,F,20.0,173.0,61.0,Summer,Swimming,
13352,F,20.0,173.0,61.0,Summer,Swimming,
13353,F,24.0,173.0,61.0,Summer,Swimming,
13354,F,24.0,173.0,61.0,Summer,Swimming,
13355,M,21.0,186.0,91.0,Summer,Boxing,
13356,M,25.0,190.0,96.0,Summer,Handball,3.0
13357,M,29.0,190.0,96.0,Summer,Handball,
13358,M,33.0,190.0,96.0,Summer,Handball,1.0
13359,M,30.0,185.0,82.0,Summer,Athletics,
13360,M,24.0,,,Summer,Basketball,1.0
13361,M,25.0,,,Summer,Gymnastics,
13362,M,25.0,,,Summer,Gymnastics,
13363,M,25.0,,,Summer,Gymnastics,
13364,M,25.0,,,Summer,Gymnastics,
13365,M,25.0,,,Summer,Gymnastics,
13366,M,25.0,,,Summer,Gymnastics,
13367,M,25.0,,,Summer,Gymnastics,
13368,M,25.0,,,Summer,Gymnastics,
13369,M,24.0,180.0,78.0,Summer,Football,2.0
13370,M,22.0,161.0,55.0,Summer,Rowing,
13371,F,24.0,169.0,55.0,Summer,Athletics,
13372,M,22.0,185.0,80.0,Summer,Football,1.0
13373,M,19.0,182.0,78.0,Summer,Cycling,
13374,M,23.0,182.0,78.0,Summer,Cycling,
13375,M,23.0,182.0,78.0,Summer,Cycling,
13376,M,32.0,175.0,68.0,Summer,Fencing,
13377,M,32.0,175.0,68.0,Summer,Fencing,
13378,F,19.0,165.0,59.0,Winter,Cross Country Skiing,
13379,F,19.0,165.0,59.0,Winter,Cross Country Skiing,
13380,M,26.0,,,Summer,Fencing,
13381,M,26.0,,,Summer,Fencing,
13382,M,34.0,,,Summer,Fencing,
13383,M,34.0,,,Summer,Fencing,
13384,M,36.0,,,Summer,Fencing,
13385,M,40.0,,,Summer,Fencing,
13386,M,,,,Summer,Fencing,
13387,M,,,,Summer,Fencing,
13388,M,20.0,176.0,70.0,Summer,Cycling,
13389,M,18.0,,,Summer,Swimming,
13390,M,24.0,177.0,68.0,Summer,Athletics,
13391,M,31.0,,,Summer,Wrestling,
13392,F,40.0,170.0,67.0,Summer,Equestrianism,
13393,M,52.0,178.0,83.0,Summer,Equestrianism,1.0
13394,M,52.0,178.0,83.0,Summer,Equestrianism,3.0
13395,M,56.0,178.0,83.0,Summer,Equestrianism,
13396,M,56.0,178.0,83.0,Summer,Equestrianism,3.0
13397,M,31.0,180.0,77.0,Summer,Hockey,2.0
13398,F,27.0,180.0,68.0,Summer,Volleyball,
13399,M,19.0,,,Summer,Athletics,
13400,M,29.0,183.0,108.0,Summer,Weightlifting,
13401,F,26.0,181.0,70.0,Summer,Hockey,1.0
13402,F,17.0,170.0,58.0,Summer,Swimming,
13403,F,17.0,170.0,58.0,Summer,Swimming,3.0
13404,M,28.0,180.0,73.0,Summer,Cycling,
13405,M,25.0,180.0,69.0,Summer,Athletics,2.0
13406,M,25.0,180.0,69.0,Summer,Athletics,1.0
13407,M,29.0,180.0,69.0,Summer,Athletics,
13408,M,29.0,180.0,69.0,Summer,Athletics,1.0
13409,F,21.0,170.0,70.0,Summer,Rowing,
13410,M,17.0,184.0,73.0,Summer,Swimming,
13411,M,17.0,184.0,73.0,Summer,Swimming,
13412,M,21.0,184.0,73.0,Summer,Swimming,
13413,M,21.0,184.0,73.0,Summer,Swimming,
13414,M,24.0,203.0,95.0,Summer,Volleyball,
13415,M,28.0,203.0,95.0,Summer,Volleyball,
13416,M,32.0,203.0,95.0,Summer,Volleyball,
13417,M,36.0,203.0,95.0,Summer,Volleyball,3.0
13418,M,35.0,190.0,112.0,Summer,Judo,
13419,M,20.0,163.0,63.0,Winter,Ice Hockey,1.0
13420,M,24.0,163.0,63.0,Winter,Ice Hockey,
13421,F,48.0,,,Summer,Art Competitions,
13422,F,17.0,160.0,41.0,Winter,Figure Skating,
13423,M,27.0,,,Winter,Cross Country Skiing,
13424,M,27.0,,,Winter,Nordic Combined,
13425,M,27.0,,,Winter,Alpine Skiing,
13426,M,31.0,182.0,87.0,Summer,Wrestling,
13427,M,35.0,182.0,87.0,Summer,Wrestling,
13428,M,22.0,185.0,75.0,Summer,Shooting,
13429,M,21.0,173.0,,Summer,Boxing,
13430,M,20.0,190.0,120.0,Summer,Wrestling,2.0
13431,M,24.0,190.0,120.0,Summer,Wrestling,2.0
13432,M,,,,Summer,Water Polo,
13433,M,23.0,176.0,60.0,Summer,Athletics,
13434,M,32.0,185.0,73.0,Summer,Fencing,
13435,F,19.0,170.0,57.0,Summer,Swimming,
13436,F,19.0,170.0,57.0,Summer,Swimming,
13437,F,23.0,170.0,57.0,Summer,Swimming,
13438,F,23.0,170.0,57.0,Summer,Swimming,
13439,F,28.0,172.0,64.0,Summer,Basketball,
13440,M,20.0,,,Summer,Boxing,
13441,M,21.0,,,Summer,Hockey,
13442,F,22.0,160.0,48.0,Summer,Synchronized Swimming,
13443,F,26.0,160.0,48.0,Summer,Synchronized Swimming,
13444,M,27.0,175.0,71.0,Winter,Cross Country Skiing,
13445,M,27.0,175.0,71.0,Winter,Cross Country Skiing,
13446,M,27.0,175.0,71.0,Winter,Cross Country Skiing,
13447,M,27.0,175.0,71.0,Winter,Cross Country Skiing,
13448,M,31.0,175.0,71.0,Winter,Cross Country Skiing,
13449,M,31.0,175.0,71.0,Winter,Cross Country Skiing,
13450,M,28.0,175.0,70.0,Winter,Cross Country Skiing,
13451,M,28.0,175.0,70.0,Winter,Cross Country Skiing,
13452,M,30.0,175.0,70.0,Winter,Cross Country Skiing,
13453,M,30.0,175.0,70.0,Winter,Cross Country Skiing,
13454,M,34.0,175.0,70.0,Winter,Cross Country Skiing,
13455,M,34.0,175.0,70.0,Winter,Cross Country Skiing,
13456,F,21.0,168.0,70.0,Summer,Cycling,
13457,F,25.0,168.0,70.0,Summer,Cycling,3.0
13458,F,29.0,168.0,70.0,Summer,Cycling,3.0
13459,F,29.0,168.0,70.0,Summer,Cycling,3.0
13460,M,23.0,180.0,,Winter,Speed Skating,1.0
13461,M,23.0,180.0,,Winter,Speed Skating,3.0
13462,M,27.0,180.0,,Winter,Speed Skating,
13463,M,27.0,180.0,,Winter,Speed Skating,
13464,M,27.0,180.0,,Winter,Speed Skating,2.0
13465,M,31.0,180.0,,Winter,Speed Skating,3.0
13466,M,31.0,180.0,,Winter,Speed Skating,2.0
13467,M,31.0,180.0,,Winter,Speed Skating,3.0
13468,M,31.0,180.0,,Winter,Speed Skating,3.0
13469,M,26.0,,,Summer,Athletics,
13470,M,22.0,187.0,67.0,Summer,Athletics,
13471,M,26.0,187.0,67.0,Summer,Athletics,
13472,F,23.0,160.0,56.0,Summer,Hockey,
13473,M,27.0,185.0,90.0,Summer,Shooting,
13474,M,21.0,179.0,76.0,Summer,Canoeing,
13475,M,21.0,179.0,76.0,Summer,Canoeing,
13476,M,23.0,187.0,77.0,Summer,Athletics,
13477,M,19.0,178.0,73.0,Summer,Water Polo,2.0
13478,M,23.0,178.0,73.0,Summer,Water Polo,3.0
13479,M,27.0,178.0,73.0,Summer,Water Polo,
13480,M,31.0,178.0,73.0,Summer,Water Polo,
13481,M,26.0,179.0,64.0,Summer,Athletics,
13482,M,23.0,181.0,65.0,Summer,Athletics,
13483,M,27.0,175.0,70.0,Summer,Hockey,
13484,F,28.0,175.0,59.0,Summer,Athletics,
13485,M,29.0,170.0,,Summer,Rowing,2.0
13486,M,26.0,181.0,81.0,Summer,Water Polo,
13487,M,30.0,181.0,81.0,Summer,Water Polo,
13488,M,23.0,167.0,62.0,Summer,Wrestling,
13489,M,27.0,167.0,62.0,Summer,Wrestling,
13490,M,25.0,184.0,78.0,Summer,Hockey,
13491,F,16.0,168.0,66.0,Summer,Swimming,
13492,M,19.0,176.0,70.0,Summer,Swimming,
13493,M,19.0,176.0,70.0,Summer,Swimming,
13494,M,19.0,176.0,70.0,Summer,Swimming,
13495,M,22.0,176.0,70.0,Summer,Swimming,
13496,M,26.0,176.0,70.0,Summer,Swimming,
13497,M,23.0,173.0,72.0,Summer,Sailing,
13498,M,27.0,173.0,72.0,Summer,Sailing,3.0
13499,M,32.0,173.0,72.0,Summer,Sailing,
13500,M,22.0,175.0,84.0,Summer,Weightlifting,
13501,M,15.0,165.0,60.0,Winter,Alpine Skiing,
13502,M,15.0,165.0,60.0,Winter,Alpine Skiing,
13503,F,15.0,167.0,52.0,Summer,Swimming,
13504,F,15.0,167.0,52.0,Summer,Swimming,
13505,M,,,,Summer,Rowing,
13506,M,26.0,175.0,67.0,Summer,Athletics,
13507,M,30.0,193.0,112.0,Summer,Athletics,
13508,M,23.0,,,Summer,Athletics,
13509,M,53.0,,,Summer,Art Competitions,
13510,M,24.0,186.0,80.0,Summer,Fencing,
13511,M,24.0,186.0,80.0,Summer,Fencing,
13512,M,42.0,185.0,71.0,Summer,Shooting,1.0
13513,M,46.0,185.0,71.0,Summer,Shooting,
13514,M,50.0,185.0,71.0,Summer,Shooting,
13515,F,25.0,,,Summer,Swimming,
13516,M,21.0,170.0,48.0,Summer,Boxing,
13517,M,,,,Summer,Tennis,
13518,M,,,,Summer,Tennis,2.0
13519,M,23.0,182.0,87.0,Summer,Fencing,
13520,M,23.0,182.0,87.0,Summer,Fencing,
13521,M,23.0,182.0,87.0,Summer,Fencing,
13522,M,23.0,182.0,87.0,Summer,Fencing,
13523,M,31.0,182.0,87.0,Summer,Fencing,
13524,M,31.0,182.0,87.0,Summer,Fencing,
13525,M,25.0,160.0,51.0,Summer,Boxing,
13526,M,29.0,160.0,51.0,Summer,Boxing,
13527,F,19.0,169.0,62.0,Summer,Athletics,
13528,F,23.0,169.0,62.0,Summer,Athletics,
13529,M,26.0,171.0,68.0,Summer,Sailing,
13530,M,25.0,170.0,62.0,Summer,Athletics,
13531,M,25.0,170.0,62.0,Summer,Athletics,
13532,M,29.0,170.0,62.0,Summer,Athletics,
13533,M,29.0,170.0,62.0,Summer,Athletics,
13534,M,29.0,170.0,62.0,Summer,Athletics,
13535,M,28.0,,,Summer,Rowing,
13536,F,21.0,183.0,76.0,Summer,Rowing,
13537,F,25.0,183.0,76.0,Summer,Rowing,
13538,F,29.0,183.0,76.0,Summer,Rowing,
13539,M,27.0,,,Winter,Ski Jumping,
13540,M,27.0,,,Winter,Nordic Combined,
13541,M,31.0,,,Winter,Ski Jumping,
13542,M,31.0,,,Winter,Nordic Combined,
13543,M,33.0,170.0,,Summer,Shooting,1.0
13544,M,33.0,170.0,,Summer,Shooting,
13545,M,23.0,176.0,80.0,Winter,Ice Hockey,
13546,M,27.0,178.0,70.0,Summer,Rowing,2.0
13547,F,21.0,180.0,67.0,Summer,Swimming,
13548,F,21.0,180.0,67.0,Summer,Swimming,
13549,F,21.0,180.0,67.0,Summer,Swimming,
13550,F,25.0,180.0,67.0,Summer,Swimming,
13551,F,25.0,180.0,67.0,Summer,Swimming,
13552,F,25.0,180.0,67.0,Summer,Swimming,1.0
13553,F,29.0,180.0,67.0,Summer,Swimming,
13554,F,29.0,180.0,67.0,Summer,Swimming,
13555,F,29.0,180.0,67.0,Summer,Swimming,
13556,M,33.0,191.0,80.0,Summer,Athletics,
13557,M,23.0,189.0,80.0,Summer,Athletics,
13558,M,20.0,187.0,77.0,Winter,Speed Skating,
13559,M,20.0,187.0,77.0,Winter,Speed Skating,
13560,M,20.0,187.0,77.0,Winter,Speed Skating,
13561,M,20.0,187.0,77.0,Winter,Speed Skating,
13562,M,22.0,187.0,77.0,Winter,Speed Skating,
13563,M,22.0,187.0,77.0,Winter,Speed Skating,
13564,M,22.0,187.0,77.0,Winter,Speed Skating,
13565,M,26.0,187.0,77.0,Winter,Speed Skating,
13566,M,26.0,187.0,77.0,Winter,Speed Skating,
13567,M,26.0,187.0,77.0,Winter,Speed Skating,
13568,M,30.0,187.0,77.0,Winter,Speed Skating,
13569,M,30.0,187.0,77.0,Winter,Speed Skating,
13570,M,30.0,187.0,77.0,Winter,Speed Skating,
13571,M,24.0,175.0,67.0,Summer,Boxing,
13572,M,24.0,178.0,68.0,Summer,Cycling,
13573,M,23.0,163.0,48.0,Summer,Athletics,
13574,M,17.0,186.0,80.0,Summer,Swimming,
13575,M,21.0,186.0,80.0,Summer,Swimming,
13576,M,21.0,186.0,80.0,Summer,Swimming,
13577,M,25.0,186.0,80.0,Summer,Swimming,
13578,M,25.0,186.0,80.0,Summer,Swimming,
13579,F,14.0,153.0,47.0,Summer,Gymnastics,
13580,F,14.0,153.0,47.0,Summer,Gymnastics,
13581,F,14.0,153.0,47.0,Summer,Gymnastics,
13582,F,14.0,153.0,47.0,Summer,Gymnastics,
13583,F,14.0,153.0,47.0,Summer,Gymnastics,
13584,F,14.0,153.0,47.0,Summer,Gymnastics,
13585,F,18.0,153.0,47.0,Summer,Gymnastics,
13586,F,18.0,153.0,47.0,Summer,Gymnastics,
13587,F,18.0,153.0,47.0,Summer,Gymnastics,
13588,F,18.0,153.0,47.0,Summer,Gymnastics,
13589,F,18.0,153.0,47.0,Summer,Gymnastics,
13590,M,29.0,180.0,69.0,Summer,Boxing,
13591,M,32.0,172.0,73.0,Summer,Shooting,
13592,M,32.0,172.0,73.0,Summer,Shooting,
13593,M,36.0,172.0,73.0,Summer,Shooting,1.0
13594,M,36.0,172.0,73.0,Summer,Shooting,
13595,M,45.0,172.0,73.0,Summer,Shooting,
13596,F,25.0,165.0,65.0,Summer,Handball,2.0
13597,F,30.0,172.0,66.0,Summer,Handball,
13598,M,24.0,187.0,76.0,Summer,Modern Pentathlon,2.0
13599,M,28.0,187.0,76.0,Summer,Modern Pentathlon,
13600,M,32.0,187.0,76.0,Summer,Modern Pentathlon,
13601,M,25.0,,,Summer,Athletics,
13602,M,21.0,192.0,78.0,Summer,Rowing,
13603,M,30.0,180.0,75.0,Summer,Shooting,
13604,F,31.0,166.0,85.0,Summer,Shooting,3.0
13605,F,31.0,166.0,85.0,Summer,Shooting,
13606,F,39.0,166.0,85.0,Summer,Shooting,
13607,M,21.0,,,Summer,Gymnastics,
13608,M,21.0,,,Summer,Gymnastics,
13609,M,21.0,,,Summer,Gymnastics,
13610,M,21.0,,,Summer,Gymnastics,
13611,M,21.0,,,Summer,Gymnastics,
13612,M,21.0,,,Summer,Gymnastics,
13613,M,21.0,,,Summer,Gymnastics,
13614,M,21.0,,,Summer,Gymnastics,
13615,F,20.0,170.0,50.0,Summer,Athletics,
13616,F,20.0,170.0,50.0,Summer,Athletics,
13617,F,20.0,170.0,50.0,Summer,Athletics,
13618,F,24.0,170.0,50.0,Summer,Athletics,
13619,M,38.0,175.0,68.0,Summer,Equestrianism,
13620,M,25.0,195.0,94.0,Summer,Handball,
13621,F,20.0,172.0,69.0,Summer,Fencing,
13622,F,20.0,172.0,69.0,Summer,Fencing,
13623,F,24.0,172.0,69.0,Summer,Fencing,
13624,F,24.0,172.0,69.0,Summer,Fencing,
13625,M,22.0,,,Summer,Football,
13626,M,26.0,,,Summer,Football,
13627,M,30.0,,,Summer,Football,1.0
13628,M,23.0,181.0,72.0,Summer,Athletics,
13629,M,27.0,181.0,72.0,Summer,Athletics,
13630,M,27.0,181.0,72.0,Summer,Athletics,
13631,M,29.0,189.0,80.0,Summer,Athletics,
13632,M,,,,Summer,Gymnastics,
13633,M,28.0,180.0,66.0,Summer,Athletics,
13634,M,20.0,,,Summer,Boxing,
13635,M,24.0,,,Summer,Boxing,
13636,M,,,,Summer,Rowing,2.0
13637,M,28.0,168.0,59.0,Summer,Wrestling,2.0
13638,M,22.0,168.0,66.0,Summer,Athletics,
13639,M,26.0,180.0,62.0,Summer,Athletics,
13640,M,22.0,160.0,62.0,Summer,Weightlifting,
13641,M,20.0,178.0,,Winter,Bobsleigh,
13642,M,24.0,178.0,,Winter,Bobsleigh,
13643,M,18.0,,,Summer,Rowing,
13644,M,38.0,,,Summer,Art Competitions,
13645,M,38.0,,,Summer,Art Competitions,
13646,M,26.0,195.0,90.0,Summer,Rowing,
13647,F,24.0,183.0,74.0,Summer,Volleyball,
13648,F,21.0,169.0,51.0,Summer,Athletics,
13649,F,29.0,169.0,51.0,Summer,Athletics,
13650,F,33.0,185.0,89.0,Summer,Athletics,
13651,F,28.0,175.0,70.0,Summer,Tennis,
13652,F,28.0,175.0,70.0,Summer,Tennis,
13653,M,22.0,181.0,75.0,Summer,Football,1.0
13654,M,19.0,160.0,48.0,Summer,Boxing,
13655,M,34.0,175.0,70.0,Summer,Shooting,
